User ID,Control System,NASA_TLX,SUS,LIKABILITY,Prior experience
CE1J,JOYSTICKS,50,85,3.5,13
A9AB,JOYSTICKS,61.67,57.5,3,4
1IM9,JOYSTICKS,55,62.5,4,6
1I1I,JOYSTICKS,65.5,75,3.5,8
F5S2,JOYSTICKS,53.33,40,2.5,1
2JW5,JOYSTICKS,49.17,50,4,7
WSSL,JOYSTICKS,56.67,62.5,3,11
RMYD,JOYSTICKS,44.17,57.5,3.5,6
50O9,JOYSTICKS,52.5,57.5,4.5,18
CE1J,MINIATURE,33.33,87.5,5,13
A9AB,MINIATURE,29.17,92.5,5,4
1IM9,MINIATURE,34.17,57.5,3.666666667,6
1I1I,MINIATURE,20.83,97.5,5,8
F5S2,MINIATURE,41.67,77.5,5,1
2JW5,MINIATURE,34.67,70,4,7
WSSL,MINIATURE,28.33,92.5,5,11
RMYD,MINIATURE,26.67,85,4.666666667,6
50O9,MINIATURE,38.33,85,4.333333333,18